GeneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
ENSDARG00000001169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.145678,1.784622,2.19156,0.298186,1.664099,1.723065,2.106591,2.181488,1.423796,1.619208,1.814119,1.287986,0.30817,3.660772,3.137077,1.224451,4.576585,1.095563,0.613423,2.329741,0.619654,0.449104,0.455469,1.112355,0,0.942023,0.65919,0,1.259653,0,0,0.462615,0.458285,0,0.867891
ENSDARG00000001210,5.091294,3.666712,7.623263,9.413395,7.767873,2.837734,6.023673,22.359934,7.925364,10.023633,11.657131,12.717024,11.417231,15.963669,15.138237,35.448296,48.363464,85.14975,73.864586,122.167923,114.256157,101.914124,93.944786,110.616768,113.820366,123.27639,84.32872,85.761696,81.320679,91.905678,87.702248,68.240242,46.741463,26.232327,22.22377,17.149401,6.72879,6.287232,5.25732,1.561014,0.718161,1.352665,1.932983,0,1.228945,0,1.57772,3.519864,2.471575,1.735782
ENSDARG00000001220,0,0,0,0,0,0,0.547607,0,0,2.147922,1.942855,0,3.963133,2.130613,2.464416,2.679819,10.412686,11.982633,22.347466,13.684976,22.915609,17.847939,25.400345,18.014776,20.125006,23.075146,18.527891,17.772934,17.130331,22.166922,8.870848,8.72659,11.514883,8.163515,7.332075,3.328581,3.481673,0.910939,0.750898,0,0.359081,0,2.149345,1.259653,1.228945,0,0,0,0,0
ENSDARG00000001241,12.728234,11.733478,4.35615,12.551193,7.767873,0,9.309312,15.554737,14.970133,10.023633,36.914249,12.717024,21.805752,23.649097,27.986816,51.955128,123.854156,160.821152,218.32103,235.986267,216.951508,210.280746,218.930511,179.338181,193.408188,214.429703,199.907913,169.837982,174.668243,170.447937,146.065598,142.812805,85.740074,82.468262,62.672657,43.526146,29.86833,30.263151,10.543129,11.756068,5.744259,0.65919,7.004866,3.610499,3.374002,0.636326,5.302783,4.129324,5.399102,0.867891
ENSDARG00000001244,7.63694,6.600081,4.35615,8.367462,6.214299,5.675469,11.499739,16.526909,11.447749,20.763241,34.971394,25.434048,16.172989,27.434294,33.442146,62.692673,130.97142,135.14975,227.230759,289.725159,245.448563,255.686249,193.439774,192.386749,246.632492,209.037125,238.484543,221.924652,207.466507,221.572159,165.505722,143.695923,110.602989,110.654694,104.400322,69.470627,47.078209,32.393101,21.894182,11.661529,13.461206,7.576503,4.468925,2.687766,2.256799,8.972029,3.890796,5.504179,8.734628,4.339455
ENSDARG00000001249,1.272823,0,0,1.045933,0,0,0,0,0,0,1.942855,0,1.585253,0,3.08052,2.215352,1.609927,6.629462,5.054752,5.98432,8.324675,4.590648,5.845187,3.850048,4.576287,4.874382,5.567206,7.506045,4.363255,4.194506,7.259313,4.134451,0.792442,1.043595,0.425379,1.446987,0.25838,0,0,0.332261,0.359081,0,0,0,0.513927,0,0,0,0.503906,0
ENSDARG00000001285,5.091294,8.800108,7.623263,15.688992,15.535747,11.350938,14.785378,7.777369,19.373114,30.786875,38.857105,50.868095,34.082939,45.811714,40.306667,84.650513,151.114166,163.381607,281.535797,401.620667,344.177521,366.978027,221.142929,243.476501,333.360809,282.595856,277.699524,266.818848,248.657822,284.598969,195.326035,237.805435,109.449234,177.4422,85.030998,87.932266,52.24548,51.263569,17.147303,20.856924,11.098042,7.927418,9.324446,6.338481,3.575094,14.02033,2.502951,9.638263,4.463221,2.603673
ENSDARG00000001313,0,1.466685,2.178075,0,0,0,1.095213,1.944342,1.761192,3.579869,1.942855,0,3.963133,2.574785,4.664469,10.505315,18.352585,39.115788,44.349552,47.655968,38.910328,38.407074,42.384586,33.634338,40.853855,23.965664,30.452583,41.493244,39.230602,33.708256,26.124733,25.288929,21.33622,21.708975,14.901715,9.509254,6.403089,3.643755,0.736906,1.040676,0,1.318379,0,2.856226,0,1.272652,0.462615,0,0.503906,0.867891
ENSDARG00000001414,0,0,0,0,0,0,0,0.972171,0,0,0,12.717024,0.792627,0.514957,3.871382,5.59187,2.00305,2.41002,7.51941,8.396594,5.70271,6.530994,7.37416,5.120923,6.092578,3.995886,4.702041,2.596924,3.008574,2.909731,3.865904,2.776983,0.303121,2.276212,0.21269,0,1.033353,0,0,0,0.359081,0,0,0,0,0,0,0,0,0
ENSDARG00000001452,1.272823,0,0,0,0,0,0.547607,0,0,0.715974,0,0,0.792627,0,0.967845,0.6967,2.603988,2.19156,3.798303,4.786837,4.12256,3.104481,4.495639,1.318547,1.668948,1.378087,2.408754,3.96655,2.949381,1.973739,3.048789,1.304447,0.48932,0.796673,0,2.172171,0.449104,0,0,0,0.359081,0,0.386597,0,0,0,0,0,0,0
ENSDARG00000001470,0,0,1.089038,0,0,0,0,0,0,0,3.88571,0,0.278271,0.514957,0.616104,0,1.689811,0.845018,3.552545,5.540539,3.677471,3.748601,2.312801,5.079008,3.953652,3.938759,6.83646,4.224308,4.621414,3.903949,2.592577,1.220446,0.909364,0.613423,0.560551,0.517506,0.584249,0.592846,0.743902,0,0,0,0,0,0,0,0,0,0,0.867891
ENSDARG00000001549,2.545647,2.933369,1.089038,1.045933,0,0,3.28564,1.944342,4.40298,5.72779,15.542842,12.717024,7.732369,5.43271,6.777144,9.915595,23.017757,26.747561,53.985222,38.526073,51.065662,54.080173,42.69038,39.557751,42.081932,42.469677,43.230141,49.051308,34.991394,35.748539,39.922035,26.683821,13.147412,8.522248,20.474619,10.771194,4.976042,6.287232,2.742146,2.322952,0.359081,2.653901,0.386597,5.375532,1.54178,1.272652,0.462615,0.458285,1.511717,0
ENSDARG00000001557,1.272823,0,1.089038,2.091866,0,0,0,0.972171,2.641788,1.431948,1.942855,0,1.863524,5.806097,11.175024,4.091491,17.438406,23.610519,24.836645,33.573555,31.999071,40.461124,29.805595,28.054243,33.950005,31.720892,26.426596,46.000359,28.036842,35.945942,27.440523,18.162872,10.471422,14.25915,13.828247,8.991749,3.628731,6.01514,3.039606,1.329044,2.617389,1.776397,0.773193,3.778959,1.943964,1.293806,0.65249,0.765395,1.439787,0.867891
ENSDARG00000001558,0,2.933369,5.445188,2.091866,6.214299,5.675469,0.547607,1.944342,1.761192,10.023633,3.88571,0,8.845455,8.89584,11.441613,34.159214,67.003746,108.194099,126.809227,137.105667,137.686752,131.531357,116.021889,108.916885,115.954605,107.90744,122.228455,104.043007,124.079346,96.872047,79.623383,43.206287,37.182556,34.941814,32.093441,27.196274,12.098358,5.376293,4.286952,1.561014,2.393527,0,0.386597,1.97371,0.513927,0.636326,1.57772,1.681965,1.991646,2.578445
ENSDARG00000001578,0,2.200027,1.089038,0,0,0,1.095213,3.888684,0,3.579869,1.942855,25.434048,4.755759,2.574785,2.200053,5.48489,14.892554,20.862652,27.863852,31.449772,35.225235,26.237682,21.90078,22.605022,32.260422,22.29314,22.96756,23.114489,23.582571,24.60339,20.665562,12.655486,14.005326,18.126711,10.725265,7.89647,4.256814,1.366408,2.735151,2.037459,1.077242,2.011855,0,1.259653,2.145056,0.636326,0.925231,0.458285,0,0
ENSDARG00000001621,0,0,0,0,1.553575,0,0.547607,0,0,2.863895,0,12.717024,3.170506,3.089742,1.848312,12.256201,16.950474,7.290449,24.53359,29.037498,27.720055,35.356094,20.908756,29.781925,29.191906,27.058935,19.924574,22.13419,17.823582,19.159601,21.430367,14.806777,12.190402,5.154303,3.38818,3.305949,2.460232,0,1.551802,1.372937,0.359081,0,0,0,0,1.293806,1.115105,0,0.503906,0.867891
ENSDARG00000001637,0,1.466685,0,0,1.553575,0,0.547607,0.972171,0,1.431948,3.88571,0,0.792627,0.514957,3.167899,3.376518,6.107751,9.634434,16.266314,12.250199,10.251212,14.994617,8.639615,9.976478,12.651695,9.20981,9.699519,12.043901,7.552657,16.902514,7.769335,4.539075,6.097429,5.406997,4.229094,4.133282,1.741004,2.188008,0.368453,0,0.718161,0,0,0,0.513927,0,0,1.22368,0,0
ENSDARG00000001676,0,0,0,0,0,0,0.547607,0,0,0,0,0,0.792627,2.059828,1.848312,5.735397,2.385561,4.946464,9.948027,6.403199,9.813596,6.383139,8.555521,8.166059,4.65862,6.917776,11.1141,5.262323,6.981922,7.609665,7.978677,6.148676,3.412526,8.611002,5.089872,6.011494,3.03257,2.414724,3.550046,2.850044,0,2.452729,0,0,0,0,0,0,1.991646,0
ENSDARG00000001710,0,0,0,0,1.553575,0,0,0,0,0.715974,0,0,0.792627,0,0.616104,1.518653,3.303529,2.003314,4.265051,4.879879,3.580171,3.959822,2.314152,1.963341,1.718687,1.096512,4.600116,4.047706,4.652914,3.40684,4.523061,5.202319,1.212486,2.889634,0.98593,2.418349,0,0.455469,0,0,0,0,0,0,0,0,0,0,0,0
