geneID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
DjGI000014_006,0,4,0,0,2,0,2,3,9,1,7,0,18,12,13,9,8,0,3,1,6,1,8,2,0,1,2,0
DjGI000014_007,6,3,9,6,8,0,14,12,7,3,34,30,45,23,43,22,24,0,18,12,12,0,27,2,7,0,3,0
DjGI000014_008,0,0,0,3,8,0,12,11,15,3,26,15,27,13,32,16,12,0,2,2,8,3,17,4,2,0,0,0
DjGI000014_009,0,0,0,0,2,1,18,9,21,3,5,7,30,9,27,28,7,0,7,0,13,0,32,5,2,2,0,0
DjGI000014_010,3,2,10,6,1,0,5,5,5,0,18,18,45,13,39,64,18,0,16,12,6,3,17,0,7,0,8,0
DjGI000014_011,0,0,0,5,0,1,13,3,3,0,12,12,25,7,24,23,8,1,0,0,5,2,1,4,1,0,0,0
DjGI000014_012,0,0,1,8,10,0,23,43,69,7,67,49,201,66,102,62,54,0,8,29,18,9,10,15,3,7,9,2
DjGI000014_013,3,0,0,0,2,2,6,3,4,1,8,11,13,7,11,3,7,1,1,1,1,1,5,1,1,2,0,0
DjGI000014_014,0,0,0,0,2,0,11,12,8,0,9,18,24,20,26,10,9,0,0,3,6,0,11,3,3,0,0,0
DjGI000014_015,0,0,0,2,10,0,10,21,25,5,48,27,91,18,26,78,57,0,0,2,20,0,33,2,22,12,4,0
DjGI000014_016,8,2,0,0,9,5,40,13,9,0,43,25,58,31,33,39,36,0,2,5,6,2,14,14,19,0,21,10
DjGI000014_017,0,0,0,2,1,0,2,5,1,0,2,6,27,6,16,20,3,0,0,1,7,3,2,0,4,0,4,0
DjGI000014_018,0,4,0,0,2,0,49,27,25,0,36,48,59,47,75,22,11,0,44,0,8,0,4,14,4,3,16,0
DjGI000014_019,9,0,0,0,9,6,22,10,10,1,33,29,48,32,21,30,21,0,0,3,17,2,10,18,16,12,17,5
DjGI000014_020,0,0,0,0,17,0,6,15,26,6,34,19,75,7,30,61,37,0,1,0,9,4,44,5,12,0,4,0
DjGI000014_021,0,0,0,0,0,0,0,10,2,0,2,0,0,2,14,23,0,6,4,0,10,0,1,0,1,0,1,0
DjGI000014_022,0,0,0,0,9,0,7,6,10,1,10,9,31,16,26,11,12,0,12,3,5,0,9,2,0,0,0,0
DjGI000014_023,0,0,0,0,5,0,0,0,11,1,22,20,17,7,37,2,21,0,18,0,2,0,13,6,1,2,0,0
DjGI000014_024,8,0,0,0,10,4,17,9,6,1,42,15,45,17,14,27,11,0,0,0,7,0,9,20,5,0,13,4
DjGI000015_001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000015_002,12,0,0,0,0,0,42,31,50,5,106,70,173,110,133,91,101,10,57,0,26,0,18,21,3,12,0,0
DjGI000015_003,0,0,0,0,0,0,0,7,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000015_004,0,0,0,0,0,13,0,0,0,0,12,0,0,0,18,0,9,0,0,0,0,0,0,0,0,10,0,0
DjGI000015_005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000015_006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DjGI000015_007,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
