geneID1,geneID2,cor,pValue,pValueAdjusted
DjGI008464_001,DjGI001152_003,NA,NA,NA
DjGI008464_001,DjGI001154_003,NA,NA,NA
DjGI008464_001,DjGI001156_003,NA,NA,NA
DjGI008464_001,DjGI001160_002,NA,NA,NA
DjGI008464_001,DjGI001166_002,NA,NA,NA
DjGI008464_001,DjGI001174_001,NA,NA,NA
DjGI008464_001,DjGI001174_002,NA,NA,NA
DjGI008464_001,DjGI001176_003,NA,NA,NA
DjGI008464_001,DjGI001177_001,NA,NA,NA
DjGI008464_001,DjGI001177_002,NA,NA,NA
DjGI008464_001,DjGI001177_003,NA,NA,NA
DjGI008464_001,DjGI001187_001,NA,NA,NA
DjGI008464_001,DjGI001187_002,NA,NA,NA
DjGI008464_001,DjGI001194_001,NA,NA,NA
DjGI008464_001,DjGI001198_003,NA,NA,NA
DjGI008464_001,DjGI001200_002,NA,NA,NA
DjGI008464_001,DjGI001201_001,NA,NA,NA
DjGI008464_001,DjGI001201_002,NA,NA,NA
DjGI008464_001,DjGI001215_001,NA,NA,NA
DjGI008464_001,DjGI001217_001,NA,NA,NA
DjGI008464_001,DjGI001217_002,NA,NA,NA
DjGI008464_001,DjGI001217_003,NA,NA,NA
DjGI008464_001,DjGI001221_001,NA,NA,NA
DjGI008464_001,DjGI001225_003,NA,NA,NA
DjGI008464_001,DjGI001230_003,NA,NA,NA
DjGI008464_001,DjGI001232_002,NA,NA,NA
DjGI008464_001,DjGI001234_001,NA,NA,NA
DjGI008464_001,DjGI001234_002,NA,NA,NA
DjGI008464_001,DjGI001234_003,NA,NA,NA
DjGI008464_001,DjGI001239_002,NA,NA,NA
DjGI008464_001,DjGI001240_002,NA,NA,NA
DjGI008464_001,DjGI001241_003,NA,NA,NA
DjGI008464_001,DjGI001243_002,NA,NA,NA
DjGI008464_001,DjGI001244_003,NA,NA,NA
DjGI008464_001,DjGI001245_001,NA,NA,NA
DjGI008464_001,DjGI001245_002,NA,NA,NA
DjGI008464_001,DjGI001249_003,NA,NA,NA
DjGI008464_001,DjGI001250_002,NA,NA,NA
DjGI008464_001,DjGI001252_003,NA,NA,NA
DjGI008464_001,DjGI001253_001,NA,NA,NA
DjGI008464_001,DjGI001253_002,NA,NA,NA
DjGI008464_001,DjGI001253_003,NA,NA,NA
DjGI008464_001,DjGI001255_003,NA,NA,NA
DjGI008464_001,DjGI001257_001,NA,NA,NA
DjGI008464_001,DjGI001259_003,NA,NA,NA
DjGI008464_001,DjGI001260_001,NA,NA,NA
DjGI008464_001,DjGI001260_002,NA,NA,NA
DjGI008464_001,DjGI001262_001,NA,NA,NA
DjGI008464_001,DjGI001262_002,NA,NA,NA
DjGI008464_001,DjGI001263_001,NA,NA,NA
DjGI008464_001,DjGI001263_002,NA,NA,NA
DjGI008464_001,DjGI001264_001,NA,NA,NA
DjGI008464_001,DjGI001264_002,NA,NA,NA
DjGI008464_001,DjGI001264_003,NA,NA,NA
DjGI008464_001,DjGI001268_001,NA,NA,NA
DjGI008464_001,DjGI001268_002,NA,NA,NA
DjGI008464_001,DjGI001270_001,NA,NA,NA
DjGI008464_001,DjGI001270_002,NA,NA,NA
DjGI008464_001,DjGI001270_003,NA,NA,NA
DjGI008464_001,DjGI001273_002,NA,NA,NA
DjGI008464_001,DjGI001273_003,NA,NA,NA
DjGI008464_001,DjGI001274_002,NA,NA,NA
DjGI008464_001,DjGI001277_001,NA,NA,NA
DjGI008464_001,DjGI001277_002,NA,NA,NA
DjGI008464_001,DjGI001277_003,NA,NA,NA
DjGI008464_001,DjGI001279_001,NA,NA,NA
DjGI008464_001,DjGI001279_002,NA,NA,NA
DjGI008464_001,DjGI001279_003,NA,NA,NA
DjGI008464_001,DjGI001280_001,NA,NA,NA
DjGI008464_001,DjGI001280_002,NA,NA,NA
DjGI008464_001,DjGI001280_003,NA,NA,NA
DjGI008464_001,DjGI001283_001,NA,NA,NA
DjGI008464_001,DjGI001286_003,NA,NA,NA
DjGI008464_001,DjGI001287_001,NA,NA,NA
DjGI008464_001,DjGI001287_002,NA,NA,NA
DjGI008464_001,DjGI001287_003,NA,NA,NA
DjGI008464_001,DjGI001290_001,NA,NA,NA
DjGI008464_001,DjGI001290_002,NA,NA,NA
DjGI008464_001,DjGI001292_001,NA,NA,NA
DjGI008464_001,DjGI001292_002,NA,NA,NA
DjGI008464_001,DjGI001293_002,NA,NA,NA
DjGI008464_001,DjGI001294_001,NA,NA,NA
DjGI008464_001,DjGI001294_002,NA,NA,NA
DjGI008464_001,DjGI001294_003,NA,NA,NA
DjGI008464_001,DjGI001295_001,NA,NA,NA
DjGI008464_001,DjGI001295_003,NA,NA,NA
DjGI008464_001,DjGI001296_001,NA,NA,NA
DjGI008464_001,DjGI001296_002,NA,NA,NA
DjGI008464_001,DjGI001296_003,NA,NA,NA
DjGI008464_001,DjGI001298_001,NA,NA,NA
DjGI008464_001,DjGI001298_002,NA,NA,NA
DjGI008464_001,DjGI001298_003,NA,NA,NA
DjGI008464_001,DjGI001300_001,NA,NA,NA
DjGI008464_001,DjGI001300_002,NA,NA,NA
DjGI008464_001,DjGI001300_003,NA,NA,NA
DjGI008464_001,DjGI001301_003,NA,NA,NA
DjGI008464_001,DjGI001304_001,NA,NA,NA
DjGI008464_001,DjGI001304_002,NA,NA,NA
DjGI008464_001,DjGI001304_003,NA,NA,NA
DjGI008464_001,DjGI001307_001,NA,NA,NA
DjGI008464_001,DjGI001307_002,NA,NA,NA
DjGI008464_001,DjGI001307_003,NA,NA,NA
DjGI008464_001,DjGI001308_001,NA,NA,NA
DjGI008464_001,DjGI001312_001,NA,NA,NA
DjGI008464_001,DjGI001313_001,NA,NA,NA
DjGI008464_001,DjGI001313_002,NA,NA,NA
DjGI008464_001,DjGI001313_003,NA,NA,NA
DjGI008464_001,DjGI001315_003,NA,NA,NA
DjGI008464_001,DjGI001317_001,NA,NA,NA
DjGI008464_001,DjGI001317_002,NA,NA,NA
DjGI008464_001,DjGI001323_001,NA,NA,NA
DjGI008464_001,DjGI001323_002,NA,NA,NA
DjGI008464_001,DjGI001324_001,NA,NA,NA
DjGI008464_001,DjGI001324_002,NA,NA,NA
DjGI008464_001,DjGI001324_003,NA,NA,NA
DjGI008464_001,DjGI001325_001,NA,NA,NA
DjGI008464_001,DjGI001325_002,NA,NA,NA
DjGI008464_001,DjGI001325_003,NA,NA,NA
DjGI008464_001,DjGI001327_001,NA,NA,NA
DjGI008464_001,DjGI001328_001,NA,NA,NA
DjGI008464_001,DjGI001330_001,NA,NA,NA
DjGI008464_001,DjGI001330_002,NA,NA,NA
DjGI008464_001,DjGI001330_003,NA,NA,NA
DjGI008464_001,DjGI001331_001,NA,NA,NA
DjGI008464_001,DjGI001331_002,NA,NA,NA
DjGI008464_001,DjGI001331_003,NA,NA,NA
DjGI008464_001,DjGI001332_001,NA,NA,NA
DjGI008464_001,DjGI001332_002,NA,NA,NA
DjGI008464_001,DjGI001332_003,NA,NA,NA
DjGI008464_001,DjGI001333_001,NA,NA,NA
DjGI008464_001,DjGI001333_002,NA,NA,NA
DjGI008464_001,DjGI001333_003,NA,NA,NA
DjGI008464_001,DjGI001335_001,NA,NA,NA
DjGI008464_001,DjGI001335_002,NA,NA,NA
DjGI008464_001,DjGI001335_003,NA,NA,NA
DjGI008464_001,DjGI001337_001,NA,NA,NA
DjGI008464_001,DjGI001337_002,NA,NA,NA
DjGI008464_001,DjGI001340_001,NA,NA,NA
DjGI008464_001,DjGI001340_002,NA,NA,NA
DjGI008464_001,DjGI001340_003,NA,NA,NA
DjGI008464_001,DjGI001342_001,NA,NA,NA
DjGI008464_001,DjGI001342_002,NA,NA,NA
DjGI008464_001,DjGI001345_001,NA,NA,NA
DjGI008464_001,DjGI001345_002,NA,NA,NA
DjGI008464_001,DjGI001345_003,NA,NA,NA
DjGI008464_001,DjGI001346_001,NA,NA,NA
DjGI008464_001,DjGI001346_002,NA,NA,NA
DjGI008464_001,DjGI001346_003,NA,NA,NA
DjGI008464_001,DjGI001348_003,NA,NA,NA
DjGI008464_001,DjGI001349_002,NA,NA,NA
DjGI008464_001,DjGI001350_001,NA,NA,NA
DjGI008464_001,DjGI001350_002,NA,NA,NA
DjGI008464_001,DjGI001352_002,NA,NA,NA
